code,name,produkmui,manufacture,cert_code,nilai,label,ingredients,ingredients_lama,ing0,ing1,ing2,ing3,ing4,ing5,ing6,ing7,ing8,ing9,ing10,ing11,ing12,ing13,ing14,ing15,ing16,ing17,ing18,ing19,ing20,ing21,ing22,ing23,ing24,ing25,ing26,ing27,ing28,ing29,ing30,ing31,ing32,cert_bodies,expired,cert_bodyname,homepage,location,status
473,Beng-Beng Chocolate Drink,Beng-beng drink dark chocolate,Pt. torabika eka semesta,00120015840601,"0,375",1,"gula,krimer,kakao bubuk,susu bubuk full cream,Ekstrak Malt,penstabil nabati,perisa sintetik,garam","gula, krimer, kakao bubuk, susu bubuk full cream, ekstrak malt bubuk, penstabil nabati, perisa sintetik, garam.",gula, krimer, kakao bubuk, susu bubuk full cream, ekstrak malt bubuk, penstabil nabati, perisa sintetik, garam,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
476,Indomaret Snack Kacang Atom / Shanghai,Kacang atom indomaret,"Gangsar, ud",07100025710415,"0,375",1,"tepung tapioka,kacang tanah,gula,bawang putih,garam,mononatrium glutamat","tepung tapioka, kacang tanah, gula, bawang putih, garam, penguat rasa mononatrium glutamat.",tepung tapioka, kacang tanah, gula, bawang putih, garam, penguat rasa mononatrium glutamat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
479,Blue Band Margarine Serbaguna,Blue band margarine,Pt. trans retail indonesia,00160095720519,"0,375",1,"minyak nabati,air,garam,pengemulsi monodigliserida,nabati,pengawet,kalium sorbat,pengatur keasaman,Trinatrium Sitrat,asam sitrat,minyak mentega,perisa identik alami mentega,antioksidan bha,antioksidan bht,vitamin b,pewarna Beta Karoten,antioksidan dl alfAlfa Tokoferol,sekuestrin edta","minyak nabati, air, garam, pengemulsi monodigliserida (nabati), pengawet, kalium sorbat, pengatur keasaman (trinatriumsitrat, asam sitrat), minyak mentega, perisa identik alami mentega, antioksidan bha & bht, vitamin b, pewarna beta karoten ci  (mengandung antioksidan dl alfa tokoferol), sekuestrin edta.",minyak nabati, air, garam, pengemulsi monodigliserida nabati, pengawet, kalium sorbat, pengatur keasaman trinatriumsitrat, asam sitrat, minyak mentega, perisa identik alami mentega, antioksidan bha  bht, vitamin b, pewarna beta karoten ci  mengandung antioksidan dl alfa tokoferol, sekuestrin edta,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
480,Indomaret Air Mineral,Indomaret  - air mineral,"Pt. sariguna primatirta, tbk.",00120045420907,"0,375",1,air mineral,air mineral.,air mineral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
482,Budy Jam Coklat,Selai coklat budy jam,Bersama cipta mandiri pt,01251001090405,"0,375",1,"gula,Cokelat bubuk,susu bubuk,lemak nabati,telur,perisa Artifisial vanili,pengawet,kalium sorbat","gula, cokelat bubuk, susu bubuk, lemak nabati, telur, perisa artifasial vanila, pengawet kalium sorbat.",gula, cokelat bubuk, susu bubuk, lemak nabati, telur, perisa artifasial vanila, pengawet kalium sorbat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
483,Ultra Juice Kacang Hijau,Sari kacang hijau ultra jaya,Cv. mam,15160050940620,"0,375",1,"air,kacang hijau,gula merah,jahe,penstabil nabati","air, kacang hijau, gula merah, jahe, penstabil nabati.",air, kacang hijau, gula merah, jahe, penstabil nabati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
486,Indomaret Cashew Milk Chocolate,Indomaret cashew chocolate,Pt. marvel food industry,01111129170515,"0,375",1,"Kacang Mede,gula,lemak kakao,kakao massa,susu bubuk,lesitin,vanili,garam,pelapis shellac,antioksidan","kacang mete, gula, lemak kakao, kakao massa, susu bubuk, lesitin, vanili, garam, pelapis shellac, antioksidan",kacang mete, gula, lemak kakao, kakao massa, susu bubuk, lesitin, vanili, garam, pelapis shellac, antioksidan,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
489,Simba Cereal Choco Chips Cokelat,Simba choco chips,Pt. simba indosnack makmur,00100036010805,"0,375",1,"tepung gandum,Cokelat bubuk,pasta Cokelat,susu bubuk,gula,ekstrak malt,garam,Pengemulsi Lesitin Kedelai,perisa Cokelat,kalsium karbonat,pewarna karamel (e-c)","tepung gandum, coklat bubuk, pasta coklat, susu bubuk, gula, ekstrak malt, garam, pengemulsi lesitin kedelai, perisa coklat, kalsium karbonat, pewarna karamel (e-c).",tepung gandum, coklat bubuk, pasta coklat, susu bubuk, gula, ekstrak malt, garam, pengemulsi lesitin kedelai, perisa coklat, kalsium karbonat, pewarna karamel ec,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
491,Dilmah Green Tea Jasmine Petals 20's,Dilmah tea jasmine green tea (vivid),Pt. david roy indonesia,00120070391014,"0,3636363636",1,"teh hijau,ekstrak melati,perisa melati","teh hijau, ekstrak melati dan perisa melati,",teh hijau, ekstrak melati dan perisa melati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
493,Sedaap Mie Tasty Bakmi Ayam,Mie sedaap bakmi ayam,"Karunia alam segar (divisi mie), pt.",114/spkp/mui-jatim,"0,3636363636",1,"tepung terigu,minyak nabati,garam,pengental nabati,pengatur keasaman,pewarna,Tartrazin Ci,zat besi,daging ayam,jamur,air,minyak nabati,bawang putih,gula,garam,bubuk lada,penguat rasa,minyak,kecap,saos Cabai","mi: tepung terigu, minyak nabati, garam, pengental nabati, pengatur keasaman, pewarna (tartrazin cl ) dan zat besi. bumbu: daging ayam, jamur, air, minyak nabati, bawang putih, gula, garam, bubuk lada, penguat rasa, minyak, kecap, saos cabe.",mi tepung terigu, minyak nabati, garam, pengental nabati, pengatur keasaman, pewarna tartrazin cl  dan zat besi bumbu daging ayam, jamur, air, minyak nabati, bawang putih, gula, garam, bubuk lada, penguat rasa, minyak, kecap, saos cabe,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
494,Lactamil Susu Bubuk Ibu Menyusui Lactasis Vanila,Lactamil lactasis menyusui vanila,Pt. sarihusada generasi mahardhika,00040009950399,"0,3636363636",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
496,Frisian Flag Susu Bubuk Instant Kompleta Chocolate,Frisian flag susu bubuk full cream,Pt. frisian flag indonesia,00040040520606,"0,3636363636",1,"sukrosa,susu skim bubuk,bubuk whey,Bubuk Cokelat,lemak nabati,susu bubuk full cream,lemak susu,mineral,kalsium karbonat,trikalsium fosfat,kalium hidroksida,Besi Pirofosfat,kalium iodida,konsetrat,protein susu,Pengemulsi Lesitin Kedelai,penstabil nabati,perisa Cokelat,vitamin ,premiks vitamin,niasin,beta karoten,vitamin b,vitamin b,asam folat","sukrosa, susu skim bubuk, bubuk whey, bubuk coklat, lemak nabati, susu bubuk full cream, lemak susu, mineral (kalsium karbonat, trikalsium fosfat, kalium hidroksida, besipirofosfat, kalium iodida), konsetrat, protein susu, pengemulsi lesitin kedelai, penstabil nabati, perisa cokelat, vitamin (premiks vitamin, niasin, beta karoten, vitamin b, vitamin b, asam folat)",sukrosa, susu skim bubuk, bubuk whey, bubuk coklat, lemak nabati, susu bubuk full cream, lemak susu, mineral kalsium karbonat, trikalsium fosfat, kalium hidroksida, besipirofosfat, kalium iodida, konsetrat, protein susu, pengemulsi lesitin kedelai, penstabil nabati, perisa cokelat, vitamin premiks vitamin, niasin, beta karoten, vitamin b, vitamin b, asam folat,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
498,Lactamil Susu Bubuk Ibu Hamil Pregnasis Cokelat,Lactamil pregnasis hamil cokelat,Pt. sarihusada generasi mahardhika,00040009950399,"0,3636363636",1,"padatan susu,protein whey,susu bubuk skim,kaseinat,susu bubuk full krim,sukrosa,bubuk kakao,inulin,campuran minyak nabati,antioksidan dl-alphAlfa Tokoferol,askorbil palmitat,maltodekstrin,mineral,antioksidan natrium askorbat,tokoferol,perisa identik alami Cokelat,Pengemulsi Lesitin Kedelai,laktosa,vitamin","padatan susu (protein whey, susu bubuk skim, kaseinat, susu bubuk full krim), sukrosa, bubuk kakao, inulin, campuran minyak nabati (mengandung antioksidan dl-alpha tokoferol dan askorbil palmitat), maltodekstrin, mineral, dha (mengandung antioksidan natrium askorbat dan tokoferol ), perisa identik alami cokelat, pengemulsi lesitin kedelai, laktosa, vitamin.",padatan susu protein whey, susu bubuk skim, kaseinat, susu bubuk full krim, sukrosa, bubuk kakao, inulin, campuran minyak nabati mengandung antioksidan dlalpha tokoferol dan askorbil palmitat, maltodekstrin, mineral, dha mengandung antioksidan natrium askorbat dan tokoferol , perisa identik alami cokelat, pengemulsi lesitin kedelai, laktosa, vitamin,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
499,Lactamil Susu Bubuk Ibu Hamil Pregnasis Vanila,Lactamil pregnasis hamil vanila,Pt. sarihusada generasi mahardhika,00040009950399,"0,3636363636",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
500,Good Mood Minuman Ekstrak Yogurt,Good mood - minuman rasa yogurt,Pt. suntory garuda beverage,00120063421212,"0,3636363636",1,"air,sirup,fruktosa,gula,perisa sintetik yogurt,pengatur keasaman,asam sitrat,trinatrium sitrat,asam laktat,garam,ekstrak mint,Antioksidan Asam Askorbat,Glikosida Steviol,sekuestran,Frukto Oligasakarida,yogurt","air, sirup, fruktosa, gula, perisa sintetik yogurt, pengatur keasaman (asam sitrat, trinatrium sitrat, asam laktat), garam, ekstrak mint, antioksidan asam askorbat, pemanis alami glikosida steviol, sekuestran, fruktooligosakarida, yogurt.",air, sirup, fruktosa, gula, perisa sintetik yogurt, pengatur keasaman asam sitrat, trinatrium sitrat, asam laktat, garam, ekstrak mint, antioksidan asam askorbat, pemanis alami glikosida steviol, sekuestran, fruktooligosakarida, yogurt,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
502,Roma Biscuit Sandwich Chocolate,Roma biscuit sandwich chocolate (cokelat bon bon),Pt. mayora indah tbk,00100014301200,"0,3636363636",1,"tepung terigu,gula,minyak nabati,whey,kakao massa,sirup fruktosa,pengembang,Pewarna Karamel iv,garam,perisa sintetik Cokelat,Pengemulsi Lesitin Kedelai,vanili,pewarna makanan Cokelat","tepung terigu, gula, minyak nabati, whey, kakao massa, sirup fruktosa, pengembang, pewarna karamel kelas iv, garam, perisa sintetik cokelat, pengemulsi lesitin kedelai, vanili, pewarna makanan cokelat.",tepung terigu, gula, minyak nabati, whey, kakao massa, sirup fruktosa, pengembang, pewarna karamel kelas iv, garam, perisa sintetik cokelat, pengemulsi lesitin kedelai, vanili, pewarna makanan cokelat,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
503,Nissin Wafer Ovaltine Chocolate Malt,Nissin wafer rasa cokelat malt ovaltine,Pt. monde mahkota biskuit,00100039290306,"0,3636363636",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
506,Sosro Teh Botol Less Sugar Jasmine Tea,Teh kotak sosro less sugar,Sophie souffle bakery,15160042541119,"0,3636363636",1,"air,ekstrak teh melati,gula","air, ekstrak teh melati dan gula.",air, ekstrak teh melati dan gula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
507,Nabati Richoco Wafer Chocolate,Richoco nabati wafer chocolate cream (krim cokelat),Pt. kaldu sari nabati indonesia,00100062440912,"0,3636363636",1,"tepung terigu,gula,minyak nabati,antioksidan tbhq,Cokelat bubuk,whey bubuk,Pengemulsi Lesitin Kedelai,pengembang,natrium bikarbonat,vitamin a,vitamin b,vitamin e","tepung terigu. gula, minyak nabati (mengandung antioksidan tbhq), cokelat bubuk, whey bubuk, pengemulsi lesitin kedelai, pengembang natrium bikarbonat, vitamin (a, b, b, e).",tepung terigu gula, minyak nabati mengandung antioksidan tbhq, cokelat bubuk, whey bubuk, pengemulsi lesitin kedelai, pengembang natrium bikarbonat, vitamin a, b, b, e,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
509,Monde Cookies Serena Egg Roll Original,Monde serena kukis egg roll (original),Pt. monde mahkota biskuit,00100039290306,"0,3636363636",1,"telur,gula,lemak reroti nabati,tepung terigu,minyak mentega","telur, gula, lemak reroti nabati, tepung terigu, minyak mentega.",telur, gula, lemak reroti nabati, tepung terigu, minyak mentega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
510,Monde Cookies Serena Egg Roll Chocolate,Monde serena kukis egg roll (original),Pt. monde mahkota biskuit,00100039290306,"0,3636363636",1,"telur,gula,lemak reroti nabati,tepung terigu,Cokelat compound butir,minyak mentega","telur, gula, lemak reroti nabati, tepung terigu, cokelat compound butir, minyak mentega.",telur, gula, lemak reroti nabati, tepung terigu, cokelat compound butir, minyak mentega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
511,Pringles Potato Crisps Seaweed,Pringles potato crisps salt and seaweed,Kellogg asia products sdn bhd,00100097280719,"0,3636363636",1,"Kentang,minyak sawit olein,tepung jagung,pati gandum,bumbu rumput laut maltodekstrin,garam,penguat rasa,mononatrium l-glutamat,dinatrium '-Inosinat,dinatrium '-guanilat,bubuk kecap,kedelai,rempah rempah,bawang putih,cabai,rumput laut,ekstrak ragi,perisa sintetik,minyak nabati,antikempal,silikon dioksida,penstabil,trikalsium fosfat,pengemulsi nabati","kentang kering, minyak sawit olein, tepung jagung, pati gandum, bumbu rumput laut maltodekstrin, garam, penguat rasa (mononatrium l-glutamat, dinatrium '-inosinat, dinatrium '-guanilat), bubuk kecap (mengandung kedelai), rempah rempah (bawang putih dan cabai), rumput laut, ekstrak ragi, perisa sintetik, minyak nabati, antikempal (silikon dioksida), penstabil (trikalsium fosfat), pengemulsi nabati",kentang kering, minyak sawit olein, tepung jagung, pati gandum, bumbu rumput laut maltodekstrin, garam, penguat rasa mononatrium lglutamat, dinatrium inosinat, dinatrium guanilat, bubuk kecap mengandung kedelai, rempah rempah bawang putih dan cabai, rumput laut, ekstrak ragi, perisa sintetik, minyak nabati, antikempal silikon dioksida, penstabil trikalsium fosfat, pengemulsi nabati,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
512,Al Shifa Natural Honey,Al shifa natural honey,Food &amp; fine pastries manufacturing company (sunbulah),00120095120419,"0,3636363636",1,madu,% madu, madu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
514,Pringles Potato Crisps Saucy Bbq,Pringles potato crisps smoky bbq,Kellogg asia products sdn bhd,00100097280719,"0,3636363636",1,"Kentang,minyak sawit olein,tepung jagung,pati gandum,bumbu bbq gula,garam,dekstrosa,penguat rasa,mononatrium l-glutamat,dinatrium '-Inosinat,dinatrium '-guanilat,Perisa Alamii,sintetik,ekstrak ragi,bubuk kecap,kedelai,gandum,pengatur keasaman,asam sitrat,asam malat,bubuk susu,antikempal,silikon dioksida,penstabil,trikalsium fosfat,minyak nabati,paprika oleoresin,pengemulsi nabati,maltodekstrin,pengatur keasaman,asam sitrat","kentang kering, minyak sawit olein, tepung jagung, pati gandum, bumbu bbq gula, garam, dekstrosa, penguat rasa (mononatrium l-glutamat, dinatrium '-inosinat, dinatrium '-guanilat), perisa alami dan sintetik, ekstrak ragi, bubuk kecap (mengandung kedelai dan gandum), pengatur keasaman (asam sitrat, asam malat), bubuk susu, antikempal (silikon dioksida), penstabil (trikalsium fosfat), minyak nabati, paprika oleoresin, pengemulsi nabati, maltodekstrin, dan pengatur keasaman asam sitrat.",kentang kering, minyak sawit olein, tepung jagung, pati gandum, bumbu bbq gula, garam, dekstrosa, penguat rasa mononatrium lglutamat, dinatrium inosinat, dinatrium guanilat, perisa alami dan sintetik, ekstrak ragi, bubuk kecap mengandung kedelai dan gandum, pengatur keasaman asam sitrat, asam malat, bubuk susu, antikempal silikon dioksida, penstabil trikalsium fosfat, minyak nabati, paprika oleoresin, pengemulsi nabati, maltodekstrin, dan pengatur keasaman asam sitrat,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
517,Ayam Brand Whole Kernel Corn In Water,Ayam brand whole mushroom in brine,Pt. faretina,00190068740414,"0,3636363636",1,"jagung manis,air,gula,garam","jagung manis (%), air, gula, garam",jagung manis , air, gula, garam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
518,Sedaap Mie Instant Ayam Spesial,Mie sedaap ayam spesial,"Karunia alam segar (divisi mie), pt.",114/spkp/mui-jatim,"0,3636363636",1,"tepung terigu,minyak sayur,garam,pengental nabati,pengatur keasaman,pewarna,tartrazin ci,zat besi,gula,garam,penguat rasa,mononatrium glutamat,ekstrak ayam,perisa ayam,bubuk lada,bawang putih,daun bawang,vitamin a,Antioksidan AlfAlfa Tokoferol,vitamin b,vitamin b,vitamin b,vitamin b,niasin,asam folat,Cabai Bubuk,,minyak sayur,bawang merah,bawang putih ","mi: tepung terigu, minyak sayur, garam, pengental nabati, pengatur keasaman, pewarna (tartrazin ci ) dan zat besi. bumbu: gula, garam, penguat rasa (mononatrium glutamat), ekstrak ayam, perisa ayam, bubuk lada, bawang putih, daun bawang, vitamin a (mengandung antikosidan alfatokoferol), b, b, b, b, niasin, asam folat. bubuk cabe, minyak: minyak sayur, bawang merah dan bawang putih. ",mi tepung terigu, minyak sayur, garam, pengental nabati, pengatur keasaman, pewarna tartrazin ci  dan zat besi bumbu gula, garam, penguat rasa mononatrium glutamat, ekstrak ayam, perisa ayam, bubuk lada, bawang putih, daun bawang, vitamin a mengandung antikosidan alfatokoferol, b, b, b, b, niasin, asam folat bubuk cabe, minyak minyak sayur, bawang merah dan bawang putih ,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
519,Monde Biscuit Butter Cookies,Monde assorted butter cookies,Pt. jadi abadi corak biscuit factory indonesia, 00100039350306,"0,3636363636",1,"tepung terigu,mentega,gula,telur,kelapa bubuk,soda kue,glukosa,garam,kismis,vanili","tepung terigu, mentega, gula, telur, kelapa bubuk, soda kue, glukosa, garam, kismis, vanili.",tepung terigu, mentega, gula, telur, kelapa bubuk, soda kue, glukosa, garam, kismis, vanili,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
520,Mister Potato Snack Crisps Sambal Matah,Mister potato  rasa sambal matah,Pt. pacific food indonesia,00100047310308,"0,3636363636",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
521,Cap Enaak Kental Manis Putih,Krimer kental manis cokelat  - cap enaak pouch,Pt. indolakto,00040009041098,"0,3636363636",1,"gula,Susu Sapi,minyak nabati,bubuk whey,Buttermilk Bubuk,maltodekstrin,air,susu bubuk skim,garam,laktosa,perisa identik alami,penstabil nabati,antioksidan,tokoferol,vitamin b,vitamin a,kolin,vitamin d","gula, susu sapi segar, minyak nabati, bubuk whey, butter milk bubuk, maltodekstrin, air, susu bubuk skim, garam, laktosa, perisa identik alami, penstabil nabati,antioksidan (tokoferol), vitamin b, a, kolin dan vitamin d.",gula, susu sapi segar, minyak nabati, bubuk whey, butter milk bubuk, maltodekstrin, air, susu bubuk skim, garam, laktosa, perisa identik alami, penstabil nabati,antioksidan tokoferol, vitamin b, a, kolin dan vitamin d,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
524,Monde Biscuit Serena Egg Roll Mini,Monde serena kukis egg roll (original),Pt. monde mahkota biskuit,00100039290306,"0,3636363636",1,"telur,gula,lemak reroti nabati,tepung terigu,minyak mentega","telur, gula, lemak reroti nabati, tepung terigu, minyak mentega.",telur, gula, lemak reroti nabati, tepung terigu, minyak mentega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
525,Laverland Crunch Snack Seaweed Sweet Soy,Laverland crunch crispy seaweed snack almond,Asia food co.-korea,00100082470417,"0,3636363636",1,"rumput laut,minyak jagung,bumbu garam","rumput laut(%), minyak jagung(%), bumbu garam",rumput laut, minyak jagung, bumbu garam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
526,Kusuka Keripik Emping Original,Kusuka keripik emping rasa original/melinjo chips original flavour,Cv. arira pangindo,01101007030205,"0,3636363636",1,"emping,minyak kelapa sawit,gula,garam,bumbu rasa ayam,tepung bawang putih","emping, minyak kelapa sawit, gula, garam, bumbu rasa ayam, tepung bawang putih.",emping, minyak kelapa sawit, gula, garam, bumbu rasa ayam, tepung bawang putih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
527,Greenfields Fresh Milk Pasteurisasi Full Cream,Greenfields susu pasteurisasi fresh milk (pasteurised fresh milk),Pt. greenfields indonesia,00040024500503,"0,3636363636",1,Susu Sapi,% susu segar, susu segar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
528,Frisian Flag Susu Cair Junio Strawberry,Frisian flag minuman susu uht junio plain,Pt. frisian flag indonesia,00040040520606,"0,3636363636",1,"Susu Sapi,sukrosa,susu bubuk skim,campuran lemak,mineral,kalsium karbonat,magnesium karbonat,penstabil nabati,perisa stroberi,vitamin c,vitamin a,antioksidan tokoferol,niasin,vitamin b,vitamin d,antioksidan tokoferol,pewarna ponceau","susu sapi segar, sukrosa, susu bubuk skim, campuran lemak, mineral (kalsium karbonat dan magnesium karbonat), penstabil nabati, perisa stroberi, vitamin (c, a (mengandung antioksidan tokoferol), niasin, b, b, d (mengandung antioksidan tokoferol), dan pewarna ponceau r ci .",susu sapi segar, sukrosa, susu bubuk skim, campuran lemak, mineral kalsium karbonat dan magnesium karbonat, penstabil nabati, perisa stroberi, vitamin c, a mengandung antioksidan tokoferol, niasin, b, b, d mengandung antioksidan tokoferol, dan pewarna ponceau r ci ,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
529,Chocolatos Wafer Roll Dark,Gery chocolatos dark wafer roll,Pt. garudafood putra putri jaya tbk,00100014221200,"0,3636363636",1,"gula,tepung terigu,Cokelat bubuk,minyak nabati,lemak reroti,krimer nabati,dekstrosa monohidrat,tepung tapioka,pewarna alami,pengemulsi nabati,garam,perisa sintetik","gula, tepung terigu, cokelat bubuk, minyak nabati, lemak reroti, krimer nabati, dekstrosa monohidrat, tepung tapioka, pewarna alami, pengemulsi nabati, garam, perisa sintetik",gula, tepung terigu, cokelat bubuk, minyak nabati, lemak reroti, krimer nabati, dekstrosa monohidrat, tepung tapioka, pewarna alami, pengemulsi nabati, garam, perisa sintetik,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
530,Khong Guan Kukis Keju Cizzring,Khong guan cizzring kukis keju*,Pt. khong guan biscuit factory indonesia ltd,00100039280306,"0,3636363636",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
531,Khong Guan Crackers Malkist Kornet,Khong guan malkist rasa kornet,Pt. khong guan biscuit factory indonesia ltd,00100039280306,"0,3636363636",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
532,Chitato Snack Potato Maxx Spicy Mexican,Chitato maxx spicy mexican chilli,Pt indofood fortuna makmur,00100037591205,"0,3636363636",1,"kentang,minyak kelapa sawit,bumbu,gula,garam,penguat rasa,mononatrium glutamat,kecap bubuk,dinatrium Inosinat,dinatrium guanilat,Glikosida Steviol,Antioksidan Asam Askorbat,alfAlfa Tokoferol,kedelai,susu,gandum,ikan,kerang,Cabai bubuk,bawang putih bubuk,bawang merah bubuk","kentang, minyak kelapa sawit, bumbu (mengandung gula, garam, penguat rasa mononatrium glutamat, kecap bubuk, dinatrium inosinat dan dinatrium guanilat, pemanis alami glikosida steviol, antioksidan askorbat dan alfa tokoferol, kedelai, susu, gandum, ikan, kerang), cabaik bubuk, bawang putih bubuk, bawang merah bubuk.",kentang, minyak kelapa sawit, bumbu mengandung gula, garam, penguat rasa mononatrium glutamat, kecap bubuk, dinatrium inosinat dan dinatrium guanilat, pemanis alami glikosida steviol, antioksidan askorbat dan alfa tokoferol, kedelai, susu, gandum, ikan, kerang, cabaik bubuk, bawang putih bubuk, bawang merah bubuk,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
533,Laverland Crunch Snack Seaweed Sea Salt,Laverland crunch crispy seaweed snack almond,Asia food co.-korea,00100082470417,"0,3636363636",1,"rumput laut,minyak biji bunga matahari,minyak wijen,garam laut","rumput laut(%),minyak biji bunga matahari, minyak wijen, garam laut",rumput laut,minyak biji bunga matahari, minyak wijen, garam laut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
536,Indomie Mi Instan Soto Lamongan,Indomie mi instan rasa soto lamongan,Pt. indofood cbp sukses makmur tbk divisi noodle,00090000300799,"0,3571428571",1,"tepung terigu,minyak nabati,tepung tapioka,garam,pestabil,pengatur keasaman,mineral,antioksidan,pewarna,tartrazin ci,garam,gula,penguat rasa,mononatrium glutamat,diantrium Inosinat,guanilat,daun bawang,Bawang Putih Bubuk,Bawang Merah Bubuk,perisa sintetik ayam,Lada Bubuk,ekstrak ragi,vitamin,Cabai bubuk,minyak nabati,bumbu soto,air,cabai,gula,rempah,garam,pengental nabati,pengatur keasaman,penguat rasa,pengawet,serbuk koya","mie: tepung terigu, minyak nabati, tepung tapioka, garam, pestabil, pengatur keasaman, mineral, antioksidan, pewarna (tartrazin ci). bumbu: garam, gula, penguat rasa mononatrium glutamat, diantrium inosinat & guanilat, daun bawang, bawang putih bbk, bawang merah bbk, perisa sintetik ayam, lada bbk, ekstrak ragi dan vitamin. cabe bubuk. minyak: minyak nabati dan bumbu soto. sambal soto: air, cabai, gula, rempah, garam, pengental nabati, pengatur keasaman, penguat rasa, pengawet. serbuk koya",mie tepung terigu, minyak nabati, tepung tapioka, garam, pestabil, pengatur keasaman, mineral, antioksidan, pewarna tartrazin ci bumbu garam, gula, penguat rasa mononatrium glutamat, diantrium inosinat  guanilat, daun bawang, bawang putih bbk, bawang merah bbk, perisa sintetik ayam, lada bbk, ekstrak ragi dan vitamin cabe bubuk minyak minyak nabati dan bumbu soto sambal soto air, cabai, gula, rempah, garam, pengental nabati, pengatur keasaman, penguat rasa, pengawet serbuk koya,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
