code;name;produkmui;nilai;label;ingredients;ing0;ing1;ing2;ing3;ing4;ing5;ing6;ing7;ing8;ing9;ing10;ing11;ing12;ing13;ing14;ing15;ing16;ing17;ing18;ing19;ing20;ing21;ing22;ing23;ing24;ing25;ing26;ing27;ing28;ing29;ing30;ing31;ing32;cert_bodies;expired;homepage;location
34;Luwak Kopi Bubuk Murni;Kopi bubuk murni;6;0;kopi bubuk;kopi bubuk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Nescafe Coffee Cream;Nescafe coffee cream;6;0;air,gula,krimer,protein susu,kopi bubuk instant,pengemulsi nabati,perisa artifisial Vanili,pengatur keasaman,pemantap,pemanis buatan asessulfam-k,mg per saji,garam,gula,pemanis buatan;air; gula; krimer protein susu; kopi bubuk instant; pengemulsi nabati; perisa artifisial vanilla; pengatur keasaman; pemantap; pemanis buatan asessulfamk mg per saji; garam; gula,pemanis buatan;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Golda Coffee Drink Dolce Latte;Golda coffee dolce latte;5,71429E+15;0;air,gula,ekstrak kopi,susu skim bubuk,krimer nabati,penstabil nabati,perisa sintetik kopi,pengemulsi nabati;air; gula; ekstrak kopi; susu skim bubuk; krimer nabati; penstabil nabati; perisa sintetik kopi; pengemulsi nabati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Nestle Air Mineral Pure Life;Air mineral nestle pure life;5,55556E+15;0;Air;air murni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;X'tragin Minuman Jahe Merah;Minuman jahe merah;5;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Kayarasa Jahe Merah Instant;Jahe merah instant fafa;5;0;ekstrak jahe merah,gula pasir murni;ekstrak jahe merah,gula pasir murni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Karuhun Keripik Singkong Original Sp;Kita-kita keripik singkong original;5;0;keripik singkong piliihan,daun jeruk,garam,cabai,minyak goreng,rempah rempah,bawang putih;keripik singkong piliihan; daun jeruk; garam; cabai; minyak goreng; rempah; bawang putih;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Lovy Butter Cookies Choco Butter;Choco mede;5;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Garuda Kacang Telur;Kacang telur amazing;5;0;kacang tanah,tepung terigu,minyak nabati,tepung tapioka,gula,telur,garam,bawang merah,bawang putih,penguat rasa mononatrium glutamat,bubuk lada;kacang tanah; tepung terigu; minyak nabati; tepung tapioka; gula; telur; garam; bawang merah; bawang putih; penguat rasa mononatrium glutamat;k bubuk lada;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Fanta Soft Drink Strawberry;Soft drink fanta strawberry;5;0;air berkarbonasi,gula,pengatur keasaman,asam sitrat,pengawet,natrium benzoat,perisa artifisial,pewarna,karmoisin ci,kuning fcf ci ;air berkarbonasi; gula; pengatur keasaman,asam sitrat; pengawet natrium benzoat; perisa artifisial; pewarna karmoisin ci ; kuning fcf ci ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Fanta Soft Drink Strawberry;Soft drink fanta strawberry;5;0;air berkarbonasi,gula,beverage base fanta,pengawet natrium benzoat;air berkarbonasi; gula; beverage base fanta; pengawet natrium benzoat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Fs Beras Hitam;Beras hitam alghifari;5;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;FS Beras Merah;Beras merah alghifari;5;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Indomaret Abon Sapi;Abon sapi rajati;5;0;daging sapi,garam,gula,kacang,bawang merah,bawang putih,minyak goreng,rempah-rempah rempah,bawang goreng;daging sapi; garam; gula; kacang; bawang merah; bawang putih; minyak goreng; rempahrempah; bawang goreng;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Indomaret Kacang Koro Kulit;Kacang koro kulit gita;5;0;kacang koro,minyak goreng,garam,gula,penyedap rasa monosodium glutamat,soda kue;kacang koro; minyak goreng; garam; gula; penyedap rasa monosodium glutamat; soda kue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Maya sardens In Tomato Sauce;Pasific sardens in tomato sauce;5;0;sardens,tomato pasta,starch,sugar,Garam;sardens; tomato pasta; starch; sugar; salt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Indomaret Teh Hijau Celup Melati;Teh hijau celup;5;0;daun teh hijau,bungan melati ;daun teh hijau ; bungan melati ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Morisca Lapis Legit Original;Lapis legit original;5;0;gula,terigu,tepung singkong,telur,margarin,santan,pengemulsi nabati,mo,digliserida,garam,baking powder,pengawet kalium sorbat,vanili,pewarna makanan,tartrazin,ci,kuning fcf ci ;gula; terigu; tepung singkong; telur; margarin; santan; pengemulsi nabati  mono,digliserida ; garam; baking powder; pengawet kalium sorbat; vanili; pewarna makanan  tartrazin; ci ; kuning fcf ci ;;;;;;;;;;;;;;;;;;;;;;;
112;Pon,Sponge Cake Mix Pan,;Sponge cake pan,;5;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Indomaret Keripik Tempe;Keripik tempe aisyah;5;0;tempe,minyak kelapa sawit,antioksidan tbhq,tepung beras,tapioka,campuran bumbu tradisional,telur;tempe; minyak kelapa sawit antioksidan tbhq; tepung beras; tapioka; campuran bumbu tradisional; telur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Kusuka Keripik Singkong Saos Balado;Keripik singkong balado ante;5;0;singkong,minyak kelapa sawit,gula,garam,cabai,bawang putih;singkong; minyak kelapa sawit; gula; garam; cabai,bawang putih;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Indomaret Keripik Tempe Sagu;Keripik tempe sagu cemara kembar;5;0;kedelai,tepung tapioka,bawang putih,garam,rempah rempah,rempah rempah,penguat rasa,mononatrium glutamat,minyak sawit;kedelai; tepung tapioka; bawang putih; garam; rempah; rempah; penguat rasa; mononatrium glutamat; minyak sawit;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Indomaret Bawang Merah Goreng;Bawang merah goreng,kriuk;5;0;bawang merah,garam,bumbu,minyak nabati;bawang merah; garam; bumbu; minyak nabati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Indomaret Kerupuk Bawang;Kerupuk bawang;5;0;tepung terigu,tapioka,bawang putih,garam,penyedap;tepung terigu; tapioka; bawang putih; garam  penyedap;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;Kusuka Keripik Singkong Barbeque;Keripik singkong barbeque;5;0;singkong,minyak kelapa sawit,gula,bumbu rasa barbeque,natrium glutamat,garam;singkong; minyak kelapa sawit; gula; bumbu rasa barbeque natrium glutamat,garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;Indomaret Keripik Singkong Asin;Keripik singkong asin;5;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;Qtela Keripik Singkong Barbeque;Keripik singkong barbeque;5;0;singkong,minyak kelapa sawit antioksidan tbhq,campuran bumbu,penguat rasa mononatrium glutamat,dinatrium inosinat,dinatrium guanilat,Asam Askorbat;singkong; minyak kelapa sawit antioksidan tbhq; campuran bumbu penguat rasa mononatrium glutamat; dinatrium inosinat; dinatrium guanilat; antioksidan asam askorbat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;Qtela Keripik Singkong Barbeque;Keripik singkong barbeque;5;0;kentang,minyak kelapa sawit,antioksidan tbhq,amonium bikarbonat,bumbu rasa keju barbekiu,penguat rasa mononatrium glutamat,pewarna makanan tartrazin ci,kuning fvf ci ;kentang; minyak kelapa sawit antioksidan tbhq; amonium bikarbonat; bumbu rasa keju barbekiu penguat rasa mononatrium glutamat; pewarna makanan tartrazin ci ; kuning fvf ci ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;Indomaret Santan Kelapa;Ardo santan kelapa;5;0;santan kelapa,air,penstabil nabati,;santan kelapa; air; penstabil nabati; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;Aqua Air Mineral;Air mineral botol aqua;5;0;air mineral;air mineral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;Indomaret Emping Jagung;Emping jagung dua jagung;5;0;jagung,gula,garam,cabai,bawang putih,pewarna makanan,minyak sawit;jagung; gula; garam; cabai; bawang putih; pewarna makanan; minyak sawit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Le Minerale Air Mineral;Air mineral le minerale;5;0;calcium,magnesium,sodium,potassium,nitrate,bicarbonate,sulfate,chloride;calcium; magnesium; sodium; potassium; nitrate; bicarbonate; sulfate; chloride; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;Indomaret Beras Merah;Beras merah alghifari;5;0;beras merah;beras merah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;Vinisi Bumbu Nasi Goreng Ikan Asin;Nasi goreng ikan asin;5;0;ikan asin,saus tomat,minyak kacang kedelai,cabai merah,bawang merah,u,g kecepe,garam,gula;ikan asin; saus tomat; minyak kacang kedelai; cabe merah; bawang merah; u,g kecepe; garam; gula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;Oishi Panchos Keripik Jagung Sapi Panggang;Nahiki keripik jagung sapi panggang;5;0;jagung,minyak nabati,bumbu rasa bbq,ekstrak daging sapi,penguat rasa mononatrium glutamat,'-ribonukleotida,gula,cabai bubuk,keju bubuk,bubuk bawang putih,perisa sintetik jagung;jagung; minyak nabati; bumbu rasa bbq; ekstrak daging sapi; penguat rasa mononatrium glutamat; ribonukleotida; gula; cabe bubuk; keju bubuk; bubuk bawang putih;,perisa sintetik jagung;;;;;;;;;;;;;;;;;;;;;;;;;;
191;Javana Minuman Teh Melati Gula Batu;Sisri minuman teh melati dengan gula batu,cup;4,54545E+15;0;air,gula,daun teh muda,perisa sintetik,Natrium Askorbat,pengatur keassaman,gula batu;air; gula; daun teh muda; perisa sintetik; antioksidan ; natrium askorbat; pengatur keassaman; gula batu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;Slim,Fit Cookies Dark Chocolate;Slim,amp,fit cookies nichoa chocolate;4,44444E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;Harada Green Tea Bag With Brown Rice;Hankook tea brown rice green tea;4,44444E+15;0;teh hijau,beras merah;teh hijau; beras merah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;Lipton Minuman Serbuk Iced Tea Lemon;Tfn minuman serbuk rasa lemon tea;4,44444E+15;0;gula,ekstrak tehhitam,pengatur keasaman,asam sitrat,maltodekstrin,perisa alami lemon,antioksidan tokoferol,garam,pemanis alami glikosida steviol;gula; ekstrak tehhitam ; pengatur keasaman,asam sitrat; maltodekstrin; perisa alami lemon antioksidan tokoferol; garam; pemanis alami glikosida steviol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;Sukses's Mie Goreng Isi 2 Ayam Kecap;Mie goreng ayam kecap;4,44444E+15;0;komposisi tepung terigu,minyak sayur,garam,pengental nabati,pengatur keasaman,pewarta,tartrazin ci,gula,garam,penguat rasa,bubuk bawang putih,bubuk bawang merah,perisa sintetik ayam,bubuk lada,ektrak ayam bubuk cabai,minyak nabati,bawang merah,kecap manis;komposisi mi tepung terigu; minyak sayur; garam; pengental nabati; pengatur keasaman; pewarta tartrazin cl  bumbu gula; garam; penguat rasa; bubuk bawang putih; bubuk bawang merah; perisa sintetik ayam; bubuk lada; ektrak ayam bubuk cabe; minyak nabati,bawang merah; kecap manis;;;;;;;;;;;;;;;;;;;;;;
217;Botan sardens Premium In Tomato Sauce;Pasific sardens in tomato sauce;4,44444E+15;0;ikan sarden,saus tomat,garam,modified starch;ikan sarden; saus tomat; garam; modified starch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;Kusuka Keripik Singkong Rumput Laut;Keripik singkong rasa rumput laut merk delapan saudara;4,44444E+15;0;singkong,minyak kelapa sawit,gula,bumbu rasa rumput laut,natrium glutamat,garam;singkong; minyak kelapa sawit; gula; bumbu rasa rumput laut natrium glutamat,garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Vinisi Bumbu Nasi Goreng Tuna;Bestunaku tuna bumbu nasi goreng;4,44444E+15;0;tuna,minyak kacang kedelai,cabai merah,kecap,saus tomat,bawang merah,garam,bawang putih;tuna; minyak kacang kedelai; cabe merah; kecap; saus tomat; bawang merah; garam; bawang putih;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;Piattos Snack Kentang Sapi Panggang;Hana snack stick kentang rasa sapi panggang;4,44444E+15;0;tepung kentang,gula,minyak nabati,perisa sapi panggang,pemanis buatan,Aspartam,pewarna makanan,amonia karamel kalium klorida,garam,penguat rasa,mononatrium glutamat,pengatur keasaman,asam sitrat,antioksidan tbhq,gula,pemanis buatan;tepung kentang; gula; minyak nabati; perisa sapi panggang pemanis buatan aspartan; pewarna makanan amonia karamel kalium klorida; garam; penguat rasa mononatrium glutamat; pengatur keasaman,asam sitrat,antioksidan tbhq; gula,pemanis buatan;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;Pon,Sponge Cake Mix Vanilla;Vanilla sponge cake mix;4,44444E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;Kusuka Keripik Talas Sapi Panggang;Keripik talas sapi panggang putra cahaya;4,44444E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;Chekhup White Coffee 2 IN 1 No Added Sugar;Shake club house 2 in 1 white coffee no sugar;4375;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;Tango Wafer Vanilla Milk;Selamat wafer milk vanilla;4,28571E+16;0;tepung terigu,gula,lemak reroti,Askorbil Palamitat,tokoferol,susu bubuk full cream,dekstrosa,pengemulsi lesitin kedelai,garam,tepung telur,pengembang natrium bikarbonat perisa artifisial Vanili;tepung terigu; gula; lemak reroti antioksidan askorbil palmitat  tokoferol; susu bubuk full cream; dekstrosa; pengemulsi lesitin kedelai; garam; tepung telur; pengembang natrium bikarbonat perisa artifisial vanila;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;Tango Wafer Vanilla Milk;Selamat wafer milk vanilla;4,28571E+16;0;tepung terigu,g,gula,lemak reroti,antioksidan bha,minyak nabati,antioksidan tbhq,susu bubuk full cream,whey bubuk,dekstrosa,pengemulsi lesitin kedelai,ekstra malt,garam,tepung,telur,pengembang,amonium bikarbonat,natrium bikarbonat,perisa artifisial Vanili,perisa identik alami susu;tepung terigu ;g; gula; lemak reroti antioksidan bha; minyak nabati antioksidan tbhq; susu bubuk full cream ;; whey bubuk; dekstrosa; pengemulsi lesitin kedelai; ekstra malt; garam; tepung; telur; pengembang amonium bikarbonat  natrium bikarbonat; perisa artifasial vanila; perisa identik alami susu;;;;;;;;;;;;;;;;;;;;
240;Indomaret Snack Kacang Polong Tepung;Kacang polong tepung;4,28571E+16;0;kacang polong,tepung tapioka,minyak goreng,gula,garam;kacang polong; tepung tapioka; minyak goreng; gula; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;Garuda Kacang Atom Apc Pedas;Kacang atom pedas gita;4,28571E+16;0;kacang tanah,tepung tapioka,minyak nabati,bawang putih,gula,sambal balado,penguat rasa mononatrium glutamat,penguat rasa i,g,pemanis buatan Aspartam,pewarna makanan sunset yellow ci,garam,penguat rasa mononatrium glutamat,pemanis buatan Aspartam,adi,;kacang tanah; tepung tapioka; minyak nabati; bawang putih; gula; sambal balado penguat rasa mononatrium glutamat; penguat rasa ig; pemanis buatan aspartan; pewarna makanan sunset yellow ci ; garam; penguat rasa mononatrium glutamat; pemanis buatan aspartanmgsaji adi mgkg berat ba,;;;;;;;;;;;;;;;;;;;;;;;;;
245;FS Beras Ketan Putih;Tepung beras ketan putih;4,28571E+16;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;Sprite Soft Drink;Soft drink sprite;4,28571E+16;0;air berkarbonasi,gula,pengatur keasaman,asam sitrat,natrium sitrat,perisa,alami,identik alami,pengawet,natrium benzoat;air berkarbonasi; gula; pengatur keasaman,asam sitrat; natrium sitrat; perisa alami; identik alami; pengawet natrium benzoat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;Sprite Soft Drink;Soft drink sprite;4,28571E+16;0;air,berkarbonasi,gula,beverage base sprite,pengawet natrium benzoat;air; berkarbonasi; gula; beverage base sprite,pengawet natrium benzoat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;Voortman Sugar Free Wafers Chocolate;Sugar free chocolate;4,28571E+16;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;X'tragin Minuman Bandrek Plus Jahe Merah;Bandrek jahe merah adelia;4,28571E+16;0;sari jahe merah segar,sukrosa,gula kelapa,rempah-rempah alami,krimer;sari jahe merah segar; sukrosa; gula kelapa; rempahrempah alami; krimer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;Dj Minuman Kesehatan Alami Belimbing Wuluh;Minuman belimbing wuluh;4,28571E+16;0;blimbing wuluh,air;blimbing wuluh; air;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;FS Beras Ketan Hitam;Tepung beras ketan hitam;4,28571E+16;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;Indomaret Snack Kacang Telur Me,;Kacang telur me,parahyangan;4,28571E+16;0;kacang tanah,tepung tapioka,gula pasir,garam,bawang putih,bawang merah,minyak goreng;kacang tanah; tepung tapioka; gula pasir; garam; bawang putih; bawang merah; minyak goreng;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;Indomaret Beras Ramos Super;Larisst beras ramos super;4,28571E+16;0;beras;beras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;Nescafe Coffee Cream French Vanilla;Nescafe coffee cream;4,28571E+16;0;air,gula,krimer,protein susu,kopi bubuk instant,pengemulsi nabati,perisa artifisial Vanili,pengatur keasaman,pemantap,pemanis buatan asessulfam-k,mg per saji,garam,gula,pemanis buatan;air; gula; krimer protein susu; kopi bubuk instant; pengemulsi nabati; perisa artifisial vanilla; pengatur keasaman; pemantap; pemanis buatan asessulfamk mg per saji; garam; gula,pemanis buatan;;;;;;;;;;;;;;;;;;;;;;;;;;
272;Frestea Minuman Teh Green Madu;Minuman kurma madu;4,28571E+16;0;air,gula,ekstrak teh hijau,pengatur keasaman,na-bikarbonat,antioksidan na-askorbat,perisa,madu;air; gula; ekstrak teh hijau; pengatur keasaman,nabikarbonat; antioksidan naaskorbat; perisa,madu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;Blenuten Minuman Serbuk Instan Vanila;Minuman serbuk kencur instan tazakka;4,28571E+16;0;maltodekstrin,sukrosa,minyak nabati,protein whey,trigliserida rantai se,g,mineral premiks,fruktooligosakarida,perisa sintetik,pengemulsi,minyak ikan,premiks vitamin,laktat ferments;maltodekstrin ; sukrosa ; minyak nabati ; protein whey ; trigliserida rantai se,g ; mineral premiks ; fruktooligosakarida ; perisa sintetik ; pengemulsi ; minyak ikan ; premiks vitamin ; laktat ferments;;;;;;;;;;;;;;;;;;;;;;;;;
274;Ichitan Thai Milk Tea Drink;Aleka jelly drink thai tea;4,28571E+16;0;air,susu bubuk,gula,krimer nabati,ekstrak teh,penstabil nabati,pengatur keasaman,garam,pewarna,pemanis buatan ins ;air; susu bubuk; gula; krimer nabati; ekstrak teh; penstabil nabati; pengatur keasaman; garam; pewarna; pemanis buatan ins ;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;Muria Makaroni Snack Pedas;Hana snack makaroni rasa pedas;4,28571E+16;0;makaroni,penyedap rasa,cabai,minyak goreng;makaroni; penyedap rasa; cabai; minyak goreng;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;Excelso Kopi Bubuk Arabica Gold;Arum kopi bubuk arabica;4,28571E+16;0;kopi bubuk ;kopi bubuk ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;Sosro Teh Botol;Teh botol sosro kaleng;4,28571E+16;0;air,gula,ekstrak teh melati;air; gula,ekstrak teh melati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;Sariwangi Teh Celup Melati;Teh melati celup gambyong kemuning;4,28571E+16;0;teh melati;teh melati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;Serena Butter Waffle;Jans butter waffle;4,28571E+16;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;Luwak Kopi Bubuk + Gula;Kopi luwak arabika bubuk;4,28571E+16;0;gula,kopi bubuk ;gula; kopi bubuk ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;Ades Air Mineral;Ades air mineral;4,28571E+16;0;air mineral;air mineral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;Coca-Cola Soft Drink;Soft drink coca-cola;4,28571E+16;0;air berkarbonasi,gula,pewarna karamel,konsentrat kola,pengatur keasaman,kafein;air berkarbonasi; gula; pewarna karamel; konsentrat kola; pengatur keasaman; kafein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;Coca-Cola Soft Drink;Soft drink coca-cola;4,28571E+16;0;air berkarbonasi,gula,pewarna karamel,kelas iv,konsentrat kola,pengatur keasaman,asam fosfat,kafein kafein maksimum konsumsi mghari;air berkarbonasi; gula; pewarna karamel kelas iv; konsentrat kola; pengatur keasaman,asam fosfat; kafein kafein mgsaji maksimum konsumsi mghari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;Coca-Cola Soft Drink;Soft drink coca-cola;4,28571E+16;0;air berkarbonasi,gula,konsentrat coca cola termasuk karamel;air berkarbonasi; gula,konsentrat coca cola termasuk karamel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;Top Coffee Gula Aren;Gambino kopi hari-hari gula aren;4,28571E+16;0;gula,krimer nabati,kopi bubuk instant,susu skim bubuk,perisa sintetik,garam,pemanis buatan,asesulfam-k,sukralosa;gula; krimer nabati; kopi bubuk instant ;; susu skim bubuk; perisa sintetik; garam; pemanis buatan asesulfamk; sukralosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;Club Air Mineral;Club air mineral;4,28571E+16;0;air mineral;air mineral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;Mogu-Mogu Minuman Nata De Coco Mangga;*goo goo minuman berperisa mangga dengan nata de coco;4,16667E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318;Kraft Sandwich Mini Oreo Chocolate Cream;Mini oreo chocolate sandwich cookies with mocha cream;4,16667E+15;0;tepung terigu,gula,minyak nabati,antioksidan tbhq,bubuk serbuk cokelat,amonium,natrium bikarbonat,sirup fruktosa,garam,pati jagung,pengembang,amonium,natrium bikarbonat,pengemulsi lesitin kedelai,perisa identik alami,Vanili;tepung terigu; gula; minyak nabati antioksidan tbhq; bubuk serbuk coklat amonium  natrium bikarbonat; sirup fruktosa; garam; pati jagung; pengembang amonium  natrium bikarbonat; pengemulsi lesitin kedelai; perisa identik alami vanila;;;;;;;;;;;;;;;;;;;;;;;;;;;
