,Produk,produkindo,produkmui,produsen,sertif,nilai
1121,Gaga Mie Instant 100 Extra Pedas Kuah Jalapeno|Gaga 100 mi instan kuah rasa ekstra pedas jalapeno|Pt. jakarana tama|00090012840700|0.3333333333333333,Gaga Mie Instant 100 Extra Pedas Kuah Jalapeno,Gaga 100 mi instan kuah rasa ekstra pedas jalapeno,Pt. jakarana tama,00090012840700,0.3333333333333333
271,Frestea Minuman Teh Lychee|Minuman teh dalam botol frestea|Pt. sumber mitra restotama|00160114240121|0.3333333333333333,Frestea Minuman Teh Lychee,Minuman teh dalam botol frestea,Pt. sumber mitra restotama,00160114240121,0.3333333333333333
312,Hershey's Delicious Syrup Strawberry|Gambino syrup strawberry|Gambino coffee|00120088760518|0.3333333333333333,Hershey's Delicious Syrup Strawberry,Gambino syrup strawberry,Gambino coffee,00120088760518,0.3333333333333333
897,Roma Sandwichi Crackers Lemon|Roma malkist crackers lemon|Pt. mayora indah tbk|00100014301200|0.3333333333333333,Roma Sandwichi Crackers Lemon,Roma malkist crackers lemon,Pt. mayora indah tbk,00100014301200,0.3333333333333333
896,San Carlo Keripik Kentang Classica|Keripik kentang laasania|Laasania|15100044111219|0.3333333333333333,San Carlo Keripik Kentang Classica,Keripik kentang laasania,Laasania,15100044111219,0.3333333333333333
935,Tic Tic Snack Crunchy Stick Bawang|Cheese stick bawang mentari|Pkprinsmg aneka snack mentari|15100060800820|0.3333333333333333,Tic Tic Snack Crunchy Stick Bawang,Cheese stick bawang mentari,Pkprinsmg aneka snack mentari,15100060800820,0.3333333333333333
892,San Carlo Keripik Kentang Croccante|Keripik kentang laasania|Laasania|15100044111219|0.3333333333333333,San Carlo Keripik Kentang Croccante,Keripik kentang laasania,Laasania,15100044111219,0.3333333333333333
1127,"Mama Mie Instant Noodle Shrimp Tom Yum|Mie instant tom yum (trident migs)|Paramartha dharmaguna, pt|07090017940613|0.3333333333333333",Mama Mie Instant Noodle Shrimp Tom Yum,Mie instant tom yum (trident migs),"Paramartha dharmaguna, pt",07090017940613,0.3333333333333333
503,Khong Guan Crackers Malkist Seaweed|Khong guan - malkist ( malkist crackers )|Pt. nissin biscuits indonesia|00100039300306|0.3333333333333333,Khong Guan Crackers Malkist Seaweed,Khong guan - malkist ( malkist crackers ),Pt. nissin biscuits indonesia,00100039300306,0.3333333333333333
887,Serena Biscuit Short Cake Cream Chocolate|Cream selamat biscuit chocolate|Pt. ceres|00110040600606|0.3333333333333333,Serena Biscuit Short Cake Cream Chocolate,Cream selamat biscuit chocolate,Pt. ceres,00110040600606,0.3333333333333333
1118,3 Ayam Mie Telor Super Merah|Java telor ayam kampung merah|Rmkd java telor|15320043341119|0.3333333333333333,3 Ayam Mie Telor Super Merah,Java telor ayam kampung merah,Rmkd java telor,15320043341119,0.3333333333333333
275,A&W Soft Drink Sarsaparila|Soft drink|Cv. augusta|00340112441220|0.3333333333333333,A&W Soft Drink Sarsaparila,Soft drink,Cv. augusta,00340112441220,0.3333333333333333
253,Big Soft Drink Blueberry|Soft drink|Cv. augusta|00340112441220|0.3333333333333333,Big Soft Drink Blueberry,Soft drink,Cv. augusta,00340112441220,0.3333333333333333
564,Ichi Ocha Minuman Green Tea Honey|Honey lemon green tea|Pt. santino|17120015111114|0.3333333333333333,Ichi Ocha Minuman Green Tea Honey,Honey lemon green tea,Pt. santino,17120015111114,0.3333333333333333
314,Marjan Syrup Melon|Gambino syrup melon hijau|Gambino coffee|00120088760518|0.3333333333333333,Marjan Syrup Melon,Gambino syrup melon hijau,Gambino coffee,00120088760518,0.3333333333333333
249,Big Soft Drink Strawberry|Soft drink fanta strawberry|Pt. merek indah lestari|09160013010220|0.3333333333333333,Big Soft Drink Strawberry,Soft drink fanta strawberry,Pt. merek indah lestari,09160013010220,0.3333333333333333
1085,Indomaret Madu Asli|Madu indomaret|Pt. madu sumbawa alami| 00120006870999|0.3333333333333333,Indomaret Madu Asli,Madu indomaret,Pt. madu sumbawa alami, 00120006870999,0.3333333333333333
1107,Binggrae Flavored Uht Milk Strawberry|Flavored milk strawberry|Pt. mondo gelato asia|15160049960520|0.3333333333333333,Binggrae Flavored Uht Milk Strawberry,Flavored milk strawberry,Pt. mondo gelato asia,15160049960520,0.3333333333333333
268,Bintang Zero Soft Drink|Soft drink|Cv. augusta|00340112441220|0.3333333333333333,Bintang Zero Soft Drink,Soft drink,Cv. augusta,00340112441220,0.3333333333333333
598,Sariwangi Teh Celup Asli|Teh celup brc|Cv.jasarama|01121258790121|0.3333333333333333,Sariwangi Teh Celup Asli,Teh celup brc,Cv.jasarama,01121258790121,0.3333333333333333
1090,Samyang Mie Instant Goreng Extreme|Mie seblak goreng instant|Makmur pangan lestari|01101226010419|0.3333333333333333,Samyang Mie Instant Goreng Extreme,Mie seblak goreng instant,Makmur pangan lestari,01101226010419,0.3333333333333333
1177,Tts Lychees In Syrup|Carica in syrup delicia|Delicia carica|15190027641017|0.3333333333333333,Tts Lychees In Syrup,Carica in syrup delicia,Delicia carica,15190027641017,0.3333333333333333
864,Sobisco Choco Mania Cookies Chip Rich Chocolate|Julie's chip choco chocolate cookies|Julie’s manufacturing sdn. bhd.|00100084210817|0.3333333333333333,Sobisco Choco Mania Cookies Chip Rich Chocolate,Julie's chip choco chocolate cookies,Julie’s manufacturing sdn. bhd.,00100084210817,0.3333333333333333
861,"Indomaret Kacang Jumbo|Kacang atom indomaret|Gangsar, ud|07100025710415|0.3333333333333333",Indomaret Kacang Jumbo,Kacang atom indomaret,"Gangsar, ud",07100025710415,0.3333333333333333
620,Indomaret Coklat Meisis|Indomaret soes coklat|Pt. gita|15100000720307|0.3333333333333333,Indomaret Coklat Meisis,Indomaret soes coklat,Pt. gita,15100000720307,0.3333333333333333
1038,Hexos Candy Mint|Hexos extra mint|Pt. konimex|00110019820402|0.3333333333333333,Hexos Candy Mint,Hexos extra mint,Pt. konimex,00110019820402,0.3333333333333333
859,Indomaret Kacang Kulit|Harum sari kacang kulit|Perusahaan harum sari|15100036080119|0.3333333333333333,Indomaret Kacang Kulit,Harum sari kacang kulit,Perusahaan harum sari,15100036080119,0.3333333333333333
1178,Tts Longans In Syrup|Carica in syrup delicia|Delicia carica|15190027641017|0.3333333333333333,Tts Longans In Syrup,Carica in syrup delicia,Delicia carica,15190027641017,0.3333333333333333
858,"Indomaret Kacang Kriuk|Kacang atom indomaret|Gangsar, ud|07100025710415|0.3333333333333333",Indomaret Kacang Kriuk,Kacang atom indomaret,"Gangsar, ud",07100025710415,0.3333333333333333
302,Kayarasa Temulawak Instant|Temulawak instant|Cv. toga nusantara|00130056471010|0.3333333333333333,Kayarasa Temulawak Instant,Temulawak instant,Cv. toga nusantara,00130056471010,0.3333333333333333
1187,Pronas Beef Luncheon|Beef luncheon|Pt. aromaduta rasaprima|08010000630904|0.3333333333333333,Pronas Beef Luncheon,Beef luncheon,Pt. aromaduta rasaprima,08010000630904,0.3333333333333333
160,Nescafe Ice Coffee Original|Torenggo coffee original|Ppkoppti torenggo|15120048870420|0.3333333333333333,Nescafe Ice Coffee Original,Torenggo coffee original,Ppkoppti torenggo,15120048870420,0.3333333333333333
628,"Fermipan Instant Yeast|Fermipan|Guangxi danbaoli yeast co.,ltd,|00310056561110|0.3333333333333333",Fermipan Instant Yeast,Fermipan,"Guangxi danbaoli yeast co.,ltd,",00310056561110,0.3333333333333333
159,"Nescafe Ice Coffee Latte|Ice coffee latte|Pt. pioneerindo gourmet international, tbk|00160057710411|0.3333333333333333",Nescafe Ice Coffee Latte,Ice coffee latte,"Pt. pioneerindo gourmet international, tbk",00160057710411,0.3333333333333333
158,Nescafe Kopi Instant 3In1 Coffeemix Original|Nescafe 3in1 original|Pt. nestle indonesia|00120005360899|0.3333333333333333,Nescafe Kopi Instant 3In1 Coffeemix Original,Nescafe 3in1 original,Pt. nestle indonesia,00120005360899,0.3333333333333333
157,"Nescafe Kopi Instant Classic|Kopi nescafe|Sari bahari,resto.|15160009980114|0.3333333333333333",Nescafe Kopi Instant Classic,Kopi nescafe,"Sari bahari,resto.",15160009980114,0.3333333333333333
343,Hilo Active Susu Bubuk Hi-Calcium Chocolate|Hilo active chocolate|Pt. nutrifood indonesia|00040029270404|0.3333333333333333,Hilo Active Susu Bubuk Hi-Calcium Chocolate,Hilo active chocolate,Pt. nutrifood indonesia,00040029270404,0.3333333333333333
152,Abc Coffee Drink Milk Coffee|Dates milk bilani drink|Bilani|03120026770719			|0.3333333333333333,Abc Coffee Drink Milk Coffee,Dates milk bilani drink,Bilani,03120026770719			,0.3333333333333333
636,Budy Jam Selai Stroberi|Selai coklat budy jam|Bersama cipta mandiri pt|01251001090405|0.3333333333333333,Budy Jam Selai Stroberi,Selai coklat budy jam,Bersama cipta mandiri pt,01251001090405,0.3333333333333333
638,Goody Pudding With Nata De Coco 3's Mango|Captain dolphin pudding with nata de coco fruit mango - 130g|Happy alliance (m) sdn. bhd.|00250081440317|0.3333333333333333,Goody Pudding With Nata De Coco 3's Mango,Captain dolphin pudding with nata de coco fruit mango - 130g,Happy alliance (m) sdn. bhd.,00250081440317,0.3333333333333333
599,"Sariwangi Teh Celup Sari Murni|Teh celup ""vanilla""|Pt. sari melati sejahtera|15120004330511|0.3333333333333333",Sariwangi Teh Celup Sari Murni,"Teh celup ""vanilla""",Pt. sari melati sejahtera,15120004330511,0.3333333333333333
339,Anlene Gold Plus Hi-Calcium Vanila|Anlene gold vanila|Pt. fonterra brands indonesia|00040048380708|0.3333333333333333,Anlene Gold Plus Hi-Calcium Vanila,Anlene gold vanila,Pt. fonterra brands indonesia,00040048380708,0.3333333333333333
291,X'tragin Minuman Lemon Jahe + Madu|Minuman lemon madu|Herbal desa nikkel|06120015350320|0.3333333333333333,X'tragin Minuman Lemon Jahe + Madu,Minuman lemon madu,Herbal desa nikkel,06120015350320,0.3333333333333333
610,Indomaret Teh Daun Jawa Oolong|Teh jawa oolong 63|Pt. eka bogainti|00160048830908|0.3333333333333333,Indomaret Teh Daun Jawa Oolong,Teh jawa oolong 63,Pt. eka bogainti,00160048830908,0.3333333333333333
190,Gery Crackers Malkist Saluut Keju|Gery saluut malkist salut keju|Pt. garudafood putra putri jaya tbk|00100014221200|0.3333333333333333,Gery Crackers Malkist Saluut Keju,Gery saluut malkist salut keju,Pt. garudafood putra putri jaya tbk,00100014221200,0.3333333333333333
524,Jetz Snack Stick Chocofiesta|Kentang stick yosita snack|Yosita snack|15100039370819|0.3333333333333333,Jetz Snack Stick Chocofiesta,Kentang stick yosita snack,Yosita snack,15100039370819,0.3333333333333333
961,Tango Wafer Strawberry Jam|Strawberry jam|Ud.bali asli|08250005461112|0.3333333333333333,Tango Wafer Strawberry Jam,Strawberry jam,Ud.bali asli,08250005461112,0.3333333333333333
929,Tropicana Slim Korean Garlic Cookies|Tropicana slim klepon cookies|Pt. nutrifood indonesia|00100048590808|0.3333333333333333,Tropicana Slim Korean Garlic Cookies,Tropicana slim klepon cookies,Pt. nutrifood indonesia,00100048590808,0.3333333333333333
186,Nadesha Snack Kue Gambang|Kue kaktus|Ummi snack|05100021161120|0.3333333333333333,Nadesha Snack Kue Gambang,Kue kaktus,Ummi snack,05100021161120,0.3333333333333333
185,Nissin Golden Wafer Chocolate|Golden moment chocolate wafer|Pt. seasonal supplies indonesia|00100044500607|0.3333333333333333,Nissin Golden Wafer Chocolate,Golden moment chocolate wafer,Pt. seasonal supplies indonesia,00100044500607,0.3333333333333333
603,Cap Botol Teh Bubuk Biru|Teh cap botol celup|Pt. gunung slamat|00120000980699|0.3333333333333333,Cap Botol Teh Bubuk Biru,Teh cap botol celup,Pt. gunung slamat,00120000980699,0.3333333333333333
921,Roma Biscuit Kelapa Fresh|Roma kelapa fresh pack|Pt. mayora indah tbk|00100014301200|0.3333333333333333,Roma Biscuit Kelapa Fresh,Roma kelapa fresh pack,Pt. mayora indah tbk,00100014301200,0.3333333333333333
337,Anlene Gold Plus Hi-Calcium Coklat|Anlene gold coklat|Pt. fonterra brands indonesia|00040048380708|0.3333333333333333,Anlene Gold Plus Hi-Calcium Coklat,Anlene gold coklat,Pt. fonterra brands indonesia,00040048380708,0.3333333333333333
1152,Sedaap Mie Instant Baso|Mie sedaap instant mi kuah rasa baso spesial|Prakarsa alam segar pt.|00090036380805|0.3333333333333333,Sedaap Mie Instant Baso,Mie sedaap instant mi kuah rasa baso spesial,Prakarsa alam segar pt.,00090036380805,0.3333333333333333
1167,Delmonte Fresh Cut Whole Kernel Corn|Whole kernel sweet corn (daily fresh)|Pt. daily fresh indonesia|01191162000416|0.3333333333333333,Delmonte Fresh Cut Whole Kernel Corn,Whole kernel sweet corn (daily fresh),Pt. daily fresh indonesia,01191162000416,0.3333333333333333
198,Date Crown Kurma Premium Emirates|Date crown (emirates premium dates/kurma emirates premium)|Al foah company llc|00190091511018|0.3333333333333333,Date Crown Kurma Premium Emirates,Date crown (emirates premium dates/kurma emirates premium),Al foah company llc,00190091511018,0.3333333333333333
295,Sido Muncul Jahe Susu|Gifta susu jahe|Gifta cullinare|03120027390819			|0.3333333333333333,Sido Muncul Jahe Susu,Gifta susu jahe,Gifta cullinare,03120027390819			,0.3333333333333333
175,Astor Wafer Stick Chocolate|Astor wafer roll chocolate|Pt. mayora indah tbk|00100014301200|0.3333333333333333,Astor Wafer Stick Chocolate,Astor wafer roll chocolate,Pt. mayora indah tbk,00100014301200,0.3333333333333333
1049,Filippo Berio Olive Oil Extra Virgin|Tropicana slim extra virgin olive oil|Pt. nutrifood indonesia (sovena)|00080103090320|0.3333333333333333,Filippo Berio Olive Oil Extra Virgin,Tropicana slim extra virgin olive oil,Pt. nutrifood indonesia (sovena),00080103090320,0.3333333333333333
821,Master Kim Snack Potato Stick Hot & Spicy|Master kim hot &amp; spicy potato stick / keripik kentang rasa pedas|Perfect food products sdn. bhd.|00100100861219|0.3157894736842105,Master Kim Snack Potato Stick Hot & Spicy,Master kim hot &amp; spicy potato stick / keripik kentang rasa pedas,Perfect food products sdn. bhd.,00100100861219,0.3157894736842105
486,Kraft Sandwich Oreo Dark & White Chocolate|Oreo dark and white chocolate flavored cream - chocolate sandwich  cookies with dark and white chocolate flavored cream|Mondelez indonesia manufacturing|00100039270306|0.3125,Kraft Sandwich Oreo Dark & White Chocolate,Oreo dark and white chocolate flavored cream - chocolate sandwich  cookies with dark and white chocolate flavored cream,Mondelez indonesia manufacturing,00100039270306,0.3125
468,Ever Delicious Cream Fillings Cookies Chocolate|Ever delicious chocolate cream filling cookies / kukis isi krim cokelat|Ever delicious food industries sdn bhd| 00100068060214|0.3125,Ever Delicious Cream Fillings Cookies Chocolate,Ever delicious chocolate cream filling cookies / kukis isi krim cokelat,Ever delicious food industries sdn bhd, 00100068060214,0.3125
819,Master Kim Snack Potato Stick Salted|Master kim salted potato stick / keripik kentang rasa asin|Perfect food products sdn. bhd.|00100100861219|0.3125,Master Kim Snack Potato Stick Salted,Master kim salted potato stick / keripik kentang rasa asin,Perfect food products sdn. bhd.,00100100861219,0.3125
807,Mister Potato Snack Crisps Honey Cheese|Mister potato oven baked potato crisps cheese|Pacific food products sdn. bhd.|00100075650216|0.3076923076923077,Mister Potato Snack Crisps Honey Cheese,Mister potato oven baked potato crisps cheese,Pacific food products sdn. bhd.,00100075650216,0.3076923076923077
527,Jetz Snack Shrimp Udang Pedas|Sumpia udang pedas / chili insomnia pillow shrimp snack|Mitra gizi sejahtera|01101247600520|0.3076923076923077,Jetz Snack Shrimp Udang Pedas,Sumpia udang pedas / chili insomnia pillow shrimp snack,Mitra gizi sejahtera,01101247600520,0.3076923076923077
912,Roma Biscuit Susu + Selai Slai O'lai Nanas|Roma biscuit sandwich dengan selai nanas|Pt. mayora indah tbk|00100014301200|0.3076923076923077,Roma Biscuit Susu + Selai Slai O'lai Nanas,Roma biscuit sandwich dengan selai nanas,Pt. mayora indah tbk,00100014301200,0.3076923076923077
923,Voortman Sugar Free Cookies Fudge Brownie Chocolate Chip|Hilo sugar free cookies nutty chocolate|Pt. nutrifood indonesia|00100048590808|0.3076923076923077,Voortman Sugar Free Cookies Fudge Brownie Chocolate Chip,Hilo sugar free cookies nutty chocolate,Pt. nutrifood indonesia,00100048590808,0.3076923076923077
324,Bendera 1+ Susu Pertumbuhan Madu|Susu bendera frisian flag susu pertumbuhan madu untuk anak usia 1-3 tahun|Pt. frisian flag indonesia|00050023640103|0.3076923076923077,Bendera 1+ Susu Pertumbuhan Madu,Susu bendera frisian flag susu pertumbuhan madu untuk anak usia 1-3 tahun,Pt. frisian flag indonesia,00050023640103,0.3076923076923077
512,Khong Guan Chocolate Wafer Classic|Khong guan - classic wafer dengan krim coklat|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.3076923076923077,Khong Guan Chocolate Wafer Classic,Khong guan - classic wafer dengan krim coklat,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.3076923076923077
37,Ultra Sari Asam Asli Slim|Ultra sari asem asli - minuman sari buah asam|Pt. ultrajaya milk industry|00120007720298|0.3076923076923077,Ultra Sari Asam Asli Slim,Ultra sari asem asli - minuman sari buah asam,Pt. ultrajaya milk industry,00120007720298,0.3076923076923077
466,Ever Delicious Yam Cookies Taro|Ever delicious yam cookies / kukis rasa talas|Ever delicious food industries sdn bhd| 00100068060214|0.3076923076923077,Ever Delicious Yam Cookies Taro,Ever delicious yam cookies / kukis rasa talas,Ever delicious food industries sdn bhd, 00100068060214,0.3076923076923077
99,"Finna Snack Kerupuk Udang Pars Seaweed|Kerupuk udang goreng original pars finna|Pt. sekar laut, tbk (sidoarjo)|00100109151120|0.3076923076923077",Finna Snack Kerupuk Udang Pars Seaweed,Kerupuk udang goreng original pars finna,"Pt. sekar laut, tbk (sidoarjo)",00100109151120,0.3076923076923077
105,Khong Guan Crackers Cream|Khong guan - krekers krim ( cream crackers )|Pt. nissin biscuits indonesia|00100039300306|0.3076923076923077,Khong Guan Crackers Cream,Khong guan - krekers krim ( cream crackers ),Pt. nissin biscuits indonesia,00100039300306,0.3076923076923077
325,Bendera 3+ Susu Pertumbuhan Madu|Susu bendera frisian flag susu pertumbuhan madu untuk anak usia 1-3 tahun|Pt. frisian flag indonesia|00050023640103|0.3076923076923077,Bendera 3+ Susu Pertumbuhan Madu,Susu bendera frisian flag susu pertumbuhan madu untuk anak usia 1-3 tahun,Pt. frisian flag indonesia,00050023640103,0.3076923076923077
639,Goody Pudding With Nata De Coco 3's Mixed|Inaco pudding dengan nata de coco dan yoghurt|Pt. niramas utama|00250009501298|0.3076923076923077,Goody Pudding With Nata De Coco 3's Mixed,Inaco pudding dengan nata de coco dan yoghurt,Pt. niramas utama,00250009501298,0.3076923076923077
110,Nabati Graker Biscuit Crackers Richbery Cheese|Nabati graker – graham crackers richberry cheese|Pt. kaldu sari nabati indonesia|00100062440912|0.3076923076923077,Nabati Graker Biscuit Crackers Richbery Cheese,Nabati graker – graham crackers richberry cheese,Pt. kaldu sari nabati indonesia,00100062440912,0.3076923076923077
484,Kraft Sandwich Oreo Ice Cream Blueberry|Oreo-chocolate sandwich  cookies with blueberry ice cream  flavorer|Mondelez indonesia manufacturing|00100039270306|0.3076923076923077,Kraft Sandwich Oreo Ice Cream Blueberry,Oreo-chocolate sandwich  cookies with blueberry ice cream  flavorer,Mondelez indonesia manufacturing,00100039270306,0.3076923076923077
718,Piattos Snack Kentang Sambal Geprek|Jack'njill piattos - makanan ringan kentang rasa sambal geprek|Pt. urc indonesia|00100042041006|0.3076923076923077,Piattos Snack Kentang Sambal Geprek,Jack'njill piattos - makanan ringan kentang rasa sambal geprek,Pt. urc indonesia,00100042041006,0.3076923076923077
719,Piattos Snack Kentang Sambal Matah|Jack'njill piattos - makanan ringan kentang rasa sambal matah|Pt. urc indonesia|00100042041006|0.3076923076923077,Piattos Snack Kentang Sambal Matah,Jack'njill piattos - makanan ringan kentang rasa sambal matah,Pt. urc indonesia,00100042041006,0.3076923076923077
1217,Kewpie Saus Siram Wijen Sangrai|Saus siram wijen choice l|Pt. inkenas agung|00060019690402|0.3,Kewpie Saus Siram Wijen Sangrai,Saus siram wijen choice l,Pt. inkenas agung,00060019690402,0.3
1148,Sedaap Mie Instant Korean Spicy Chicken|Korean spicy chicken|Pt. flip burger internasional|00160111931220|0.3,Sedaap Mie Instant Korean Spicy Chicken,Korean spicy chicken,Pt. flip burger internasional,00160111931220,0.3
1168,King's Fisher Sarden Goreng Balado|Asahi sarden goreng sambal balado|Cv. pasific harvest|00030000761094|0.3,King's Fisher Sarden Goreng Balado,Asahi sarden goreng sambal balado,Cv. pasific harvest,00030000761094,0.3
1028,Alpenliebe Candy Karamel Susu|Alpenliebe rasa susu dan karamel|Pt. perfetti van melle indonesia|00110011141099|0.3,Alpenliebe Candy Karamel Susu,Alpenliebe rasa susu dan karamel,Pt. perfetti van melle indonesia,00110011141099,0.3
925,Wanted Snack Tortilla Chips Cheese|Berkah snack cheese chips ( keripik keju berkah snack )|Berkah snack|00100088360418|0.3,Wanted Snack Tortilla Chips Cheese,Berkah snack cheese chips ( keripik keju berkah snack ),Berkah snack,00100088360418,0.3
1105,"Pororo Minuman Berperisa Susu|Minuman serbuk kopi berperisa susu|Puji surya indah, pt|07120025820415|0.3",Pororo Minuman Berperisa Susu,Minuman serbuk kopi berperisa susu,"Puji surya indah, pt",07120025820415,0.3
1179,S&W Mandarin Orange In Light Syrup|Mandarin orange syrup|Pt formosa ingredient factory|17120043981118|0.3,S&W Mandarin Orange In Light Syrup,Mandarin orange syrup,Pt formosa ingredient factory,17120043981118,0.3
1087,Kikkoman Saus Pedas Ala Korea|Saori saus pedas ala szechuan|Pt. ajinomoto indonesia|00060008910908|0.3,Kikkoman Saus Pedas Ala Korea,Saori saus pedas ala szechuan,Pt. ajinomoto indonesia,00060008910908,0.3
1111,Pororo Minuman Berperisa Mango|Bubuk minuman instant  berperisa  mango denali|Pt. scuro lavino|00120104640620|0.3,Pororo Minuman Berperisa Mango,Bubuk minuman instant  berperisa  mango denali,Pt. scuro lavino,00120104640620,0.3
1143,Sedaap Mie Instant Korean Spicy Soup|Mie sedaap instant - mi kuah rasa pedas ala korea ( korean spicy soup ) eksport|Prakarsa alam segar pt.|00090036380805|0.3,Sedaap Mie Instant Korean Spicy Soup,Mie sedaap instant - mi kuah rasa pedas ala korea ( korean spicy soup ) eksport,Prakarsa alam segar pt.,00090036380805,0.3
1132,"Abc Mi Goreng Selera Pedas Aym Pedas Limau|Nasi goreng pedas|Selera bogatama, cv|00160107160920|0.3",Abc Mi Goreng Selera Pedas Aym Pedas Limau,Nasi goreng pedas,"Selera bogatama, cv",00160107160920,0.3
873,WRP Diet Cookies Flake Chocolate Chips|Chocolate chips cookies|Pt. pancamitra kreasi kulina|00160108031020|0.3,WRP Diet Cookies Flake Chocolate Chips,Chocolate chips cookies,Pt. pancamitra kreasi kulina,00160108031020,0.3
803,Monde Biscuit Egg Drops|Monde - biskuit egg drops|Pt. nissin biscuits indonesia|00100039300306|0.3,Monde Biscuit Egg Drops,Monde - biskuit egg drops,Pt. nissin biscuits indonesia,00100039300306,0.3
881,Slim & Fit Cookies Raisin Cinnamon|Slim &amp; fit cookies nichoa chocolate|Nichoa chocolatte	|15100061900920|0.3,Slim & Fit Cookies Raisin Cinnamon,Slim &amp; fit cookies nichoa chocolate,Nichoa chocolatte	,15100061900920,0.3
1139,Sedaap Mie Mie Instant Korean Spicy Soup|Mie sedaap instant - mi kuah rasa pedas ala korea ( korean spicy soup ) eksport|Prakarsa alam segar pt.|00090036380805|0.3,Sedaap Mie Mie Instant Korean Spicy Soup,Mie sedaap instant - mi kuah rasa pedas ala korea ( korean spicy soup ) eksport,Prakarsa alam segar pt.,00090036380805,0.3
828,"Nutrijell Konnyaku Jelly Powder Grape|Jelly powder rasa grape|Afis prima perdana, pt.|07260039170617|0.3",Nutrijell Konnyaku Jelly Powder Grape,Jelly powder rasa grape,"Afis prima perdana, pt.",07260039170617,0.3
810,Mister Potato Snack Crisps Balado|Mister potato rasa balado|Pt. pacific food indonesia|00100047310308|0.3,Mister Potato Snack Crisps Balado,Mister potato rasa balado,Pt. pacific food indonesia,00100047310308,0.3
815,Meiji Biskuit Yan Yan Chocolate|Yan yan chocolate (biskuit dengan krim cokelat)|Pt. meiji food indonesia|00100024040303|0.3,Meiji Biskuit Yan Yan Chocolate,Yan yan chocolate (biskuit dengan krim cokelat),Pt. meiji food indonesia,00100024040303,0.3
816,Meiji Biscuit Yan Yan Chocolate|Yan yan chocolate (biskuit dengan krim cokelat)|Pt. meiji food indonesia|00100024040303|0.3,Meiji Biscuit Yan Yan Chocolate,Yan yan chocolate (biskuit dengan krim cokelat),Pt. meiji food indonesia,00100024040303,0.3
938,Taro Snack Net Seaweed|Pellet net taro merk liberty|Pt. aloha snack unggul|01101075380812|0.3,Taro Snack Net Seaweed,Pellet net taro merk liberty,Pt. aloha snack unggul,01101075380812,0.3
1035,Kit Kat Chocolate Chunky|Nestle kit kat chunky hazelnut|Nestle products (malaysia) sdn. bhd.|00110020380502|0.3,Kit Kat Chocolate Chunky,Nestle kit kat chunky hazelnut,Nestle products (malaysia) sdn. bhd.,00110020380502,0.3
1279,Blue Band Margarine Cake & Cookie|Blue band margarine|Pt. trans retail indonesia|00160095720519|0.3,Blue Band Margarine Cake & Cookie,Blue band margarine,Pt. trans retail indonesia,00160095720519,0.3
532,Happytos Snack Tortilla Chips Nacho Cheese|Krip-krip tortilla rasa nacho cheese|Pt. dua kelinci|00100017571001|0.3,Happytos Snack Tortilla Chips Nacho Cheese,Krip-krip tortilla rasa nacho cheese,Pt. dua kelinci,00100017571001,0.3
147,Aik Cheong White Coffee Hazelnut|Indocafe white coffee hazelnut|Pt. sari incofood corporation|00120037001005|0.3,Aik Cheong White Coffee Hazelnut,Indocafe white coffee hazelnut,Pt. sari incofood corporation,00120037001005,0.3
172,Beng-Beng Wafer Chocolate Share It 10'S|Beng-beng share it|Pt. mayora indah tbk|00100014301200|0.3,Beng-Beng Wafer Chocolate Share It 10'S,Beng-beng share it,Pt. mayora indah tbk,00100014301200,0.3
438,Happy Pop Snack Seaweed|Chocho crispy seaweed snack rice pop|Asia food co.-korea|00100082470417|0.3,Happy Pop Snack Seaweed,Chocho crispy seaweed snack rice pop,Asia food co.-korea,00100082470417,0.3
437,Bon Cabe Snack Makaroni Level 10|Ultra aroma abon cabe level 10|Pt. ultra aroma|00060075380116|0.3,Bon Cabe Snack Makaroni Level 10,Ultra aroma abon cabe level 10,Pt. ultra aroma,00060075380116,0.3
734,Oishi Snack Stick Makado Saus Tomat|Oishi saus tomat|Pt. karawang foods lestari|00060035370605|0.3,Oishi Snack Stick Makado Saus Tomat,Oishi saus tomat,Pt. karawang foods lestari,00060035370605,0.3
732,Oishi Snack Stick Rin-Bee Pizza Keju|Hana snack stick kentang rasa keju|Rdmk hana snack|15100026040817|0.3,Oishi Snack Stick Rin-Bee Pizza Keju,Hana snack stick kentang rasa keju,Rdmk hana snack,15100026040817,0.3
588,"My Tea Minuman Teh Oolong Poci|Minuman olah ( teh poci )|Candisari,resto|15160006190612|0.3",My Tea Minuman Teh Oolong Poci,Minuman olah ( teh poci ),"Candisari,resto",15160006190612,0.3
416,Cho-Cho Wafer Snack Chocolate Rice Crispy|Marvel rice crispy chocolate|Pt. marvel food industry|01111129170515|0.3,Cho-Cho Wafer Snack Chocolate Rice Crispy,Marvel rice crispy chocolate,Pt. marvel food industry,01111129170515,0.3
264,Mizone Active Minuman Isotonik Lychee Lemon|Mizone rasa lychee lemon|Pt. tirta investama|00120016900801|0.3,Mizone Active Minuman Isotonik Lychee Lemon,Mizone rasa lychee lemon,Pt. tirta investama,00120016900801,0.3
